Book_Num,Chapter_Num,Section_Num,Character_Name,words,Affiliation,Title,Type,Species
1,15,2,Loken,1110,Sons of Horus,Captain,,Astartes
1,15,3,Loken,454,Sons of Horus,Captain,,Astartes
1,15,4,Loken,630,Sons of Horus,Captain,,Astartes
1,15,5,Loken,1955,Sons of Horus,Captain,,Astartes
1,15,6,Loken,704,Sons of Horus,Captain,,Astartes
1,15,7,Loken,324,Sons of Horus,Captain,,Astartes
1,16,1,Tarvitz,930,Emperors Children,,,Astartes
1,16,2,Tarvitz,90,Emperors Children,,,Astartes
1,16,3,Tarvitz,1338,Emperors Children,,,Astartes
1,16,4,Narrator,377,,,,
1,16,5,Loken,3313,Sons of Horus,Captain,,Astartes
1,16,6,Karkasy,1105,Remembrancer,,,Human
1,16,7,Loken,2854,Sons of Horus,Captain,,Astartes
1,16,8,Keeler,173,Remembrancer,,,Human
1,16,9,Loken,90,Sons of Horus,Captain,,Astartes
1,17,1,Loken,732,Sons of Horus,Captain,,Astartes
1,17,2,Tarvitz,768,Emperors Children,,,Astartes
1,17,3,Narrator,2001,,,,
1,17,4,Narrator,447,,,,
1,18,1,Loken,2600,Sons of Horus,Captain,,Astartes
1,18,2,Loken,1517,Sons of Horus,Captain,,Astartes
1,18,3,Narrator,777,,,,
1,19,1,Loken,262,Sons of Horus,Captain,,Astartes
1,19,2,Loken,121,Sons of Horus,Captain,,Astartes
1,19,3,Loken,1226,Sons of Horus,Captain,,Astartes
1,19,2,Loken,121,Sons of Horus,Captain,,Astartes
1,19,4,Loken,1684,Sons of Horus,Captain,,Astartes
1,20,1,Loken,819,Sons of Horus,Captain,,Astartes
1,20,2,Loken,3377,Sons of Horus,Captain,,Astartes
1,20,3,Loken,1505,Sons of Horus,Captain,,Astartes
1,20,4,Loken,850,Sons of Horus,Captain,,Astartes
1,21,1,Oliton,270,Remembrancer,,,Human
1,21,2,Narrator,276,,,,
1,21,3,Narrator,196,,,,
1,21,4,Narrator,127,,,,
1,21,1,Oliton,270,Remembrancer,,,Human
2,1,1,Petronella,1550,Remembrancer,,,Human
2,1,2,Jonah Aruken,2968,Titan Legions,Princeps,,Human
2,1,3,Akshub,277,Chaos,Davinite,,Human
2,1,4,Narrator,326,,,,
2,2,1,Oliton,1328,Remembrancer,,,Human
2,2,2,Loken,880,Sons of Horus,Captain,,Astartes
2,2,3,Maloghurst,984,Sons of Horus,Equerry,,Astartes
2,2,4,Loken,315,Sons of Horus,Captain,,Astartes
2,2,5,Karkasy,1462,Remembrancer,,,Human
2,2,6,Karkasy,194,Remembrancer,,,Human
2,3,1,Loken,1431,Sons of Horus,Captain,,Astartes
2,3,2,Loken,447,Sons of Horus,Captain,,Astartes
2,3,3,Karkasy,793,Remembrancer,,,Human
2,3,4,Loken,1005,Sons of Horus,Captain,,Astartes
2,3,5,Loken,1088,Sons of Horus,Captain,,Astartes
2,4,1,Loken,453,Sons of Horus,Captain,,Astartes
2,4,2,Loken,559,Sons of Horus,Captain,,Astartes
2,4,3,Loken,1224,Sons of Horus,Captain,,Astartes
2,4,4,Karkasy,708,Remembrancer,,,Human
2,4,5,Karkasy,244,Remembrancer,,,Human
2,4,4,Karkasy,708,Remembrancer,,,Human
2,4,6,Karkasy,108,Remembrancer,,,Human
2,4,7,Petronella,1262,Remembrancer,,,Human
2,4,8,Petronella,421,Remembrancer,,,Human
2,5,1,Narrator,187,,,,
2,5,2,Loken,982,Sons of Horus,Captain,,Astartes
2,5,3,Petronella,586,Remembrancer,,,Human
2,5,4,Loken,1383,Sons of Horus,Captain,,Astartes
2,5,5,Narrator,342,,,,
2,5,6,Loken,950,Sons of Horus,Captain,,Astartes
2,5,7,Loken,734,Sons of Horus,Captain,,Astartes
2,6,1,Loken,1219,Sons of Horus,Captain,,Astartes
2,6,2,Torgaddon,222,Sons of Horus,,,Astartes
2,6,3,Jonah Aruken,322,Titan Legions,Princeps,,Human
2,6,4,Petronella,414,Remembrancer,,,Human
2,6,5,Loken,1196,Sons of Horus,Captain,,Astartes
2,6,6,Petronella,1369,Remembrancer,,,Human
2,6,7,Loken,705,Sons of Horus,Captain,,Astartes
2,7,1,Loken,460,Sons of Horus,Captain,,Astartes
2,7,2,Loken,537,Sons of Horus,Captain,,Astartes
2,7,3,Loken,792,Sons of Horus,Captain,,Astartes
2,7,4,Loken,464,Sons of Horus,Captain,,Astartes
2,7,5,Horus,626,Sons of Horus,Primarch,,Primarch
2,7,6,Loken,310,Sons of Horus,Captain,,Astartes
2,7,7,Horus,2067,Sons of Horus,Primarch,,Primarch
2,8,1,Loken,418,Sons of Horus,Captain,,Astartes
2,8,2,Horus,2289,Sons of Horus,Primarch,,Primarch
2,8,3,Loken,903,Sons of Horus,Captain,,Astartes
2,8,4,Loken,867,Sons of Horus,Captain,,Astartes
2,8,5,Petronella,995,Remembrancer,,,Human
2,9,1,Magnus,1334,Thousand Sons,Primarch,,Primarch
2,9,2,Loken,1022,Sons of Horus,Captain,,Astartes
2,9,3,Karkasy,2556,Remembrancer,,,Human
2,9,4,Maloghurst,795,Sons of Horus,Equerry,,Astartes
2,10,1,Vaddon,1200,Sons of Horus,,,Astartes
2,10,2,Titus Cassar,472,Titan Legions,Princeps,,Human
2,10,3,Petronella,2379,Remembrancer,,,Human
2,11,1,Loken,726,Sons of Horus,Captain,,Astartes
2,11,2,Aximand,929,Sons of Horus,,,Astartes
2,11,3,Aximand,1050,Sons of Horus,,,Astartes
2,11,4,Loken,1538,Sons of Horus,Captain,,Astartes
2,11,5,Aximand,654,Sons of Horus,,,Astartes
2,12,1,Karkasy,469,Remembrancer,,,Human
2,12,2,Loken,846,Sons of Horus,Captain,,Astartes
2,12,3,Loken,3156,Sons of Horus,Captain,,Astartes
2,13,1,Horus,1468,Sons of Horus,Primarch,,Primarch
2,13,2,Erebus,891,Word Bearers,,,Astartes
2,13,3,Horus,765,Sons of Horus,Primarch,,Primarch
2,13,4,Loken,408,Sons of Horus,Captain,,Astartes
2,13,5,Horus,1546,Sons of Horus,Primarch,,Primarch
2,13,6,Narrator,162,,,,
2,14,1,Horus,2315,Sons of Horus,Primarch,,Primarch
2,14,2,Loken,1842,Sons of Horus,Captain,,Astartes
2,14,3,Horus,1325,Sons of Horus,Primarch,,Primarch
2,15,1,Karkasy,1197,Remembrancer,,,Human
2,15,2,Horus,551,Sons of Horus,Primarch,,Primarch
2,15,3,Keeler,1655,Remembrancer,,,Human
2,15,4,Horus,2008,Sons of Horus,Primarch,,Primarch
2,16,1,Loken,1014,Sons of Horus,Captain,,Astartes
2,16,2,Karkasy,1483,Remembrancer,,,Human
2,16,3,Keeler,1466,Remembrancer,,,Human
2,16,4,Horus,965,Sons of Horus,Primarch,,Primarch
2,17,1,Keeler,1769,Remembrancer,,,Human
2,17,2,Horus,986,Sons of Horus,Primarch,,Primarch
2,17,3,Keeler,594,Remembrancer,,,Human
2,17,4,Loken,963,Sons of Horus,Captain,,Astartes
2,17,5,Keeler,403,Remembrancer,,,Human
2,17,6,Loken,315,Sons of Horus,Captain,,Astartes
2,18,1,Oliton,257,Remembrancer,,,Human
2,18,2,Narrator,299,,,,
2,18,3,Loken,1239,Sons of Horus,Captain,,Astartes
2,18,1,Oliton,257,Remembrancer,,,Human
2,18,4,Loken,791,Sons of Horus,Captain,,Astartes
2,18,1,Oliton,257,Remembrancer,,,Human
2,18,5,Torgaddon,2158,Sons of Horus,,,Astartes
2,19,1,Petronella,1188,Remembrancer,,,Human
2,19,2,Horus,1048,Sons of Horus,Primarch,,Primarch
2,19,3,Loken,943,Sons of Horus,Captain,,Astartes
2,19,4,Loken,205,Sons of Horus,Captain,,Astartes
2,19,5,Loken,260,Sons of Horus,Captain,,Astartes
2,19,6,Aximand,1499,Sons of Horus,,,Astartes
2,20,1,Loken,186,Sons of Horus,Captain,,Astartes
2,20,2,Loken,1108,Sons of Horus,Captain,,Astartes
2,20,3,Loken,468,Sons of Horus,Captain,,Astartes
2,20,4,Loken,529,Sons of Horus,Captain,,Astartes
2,20,5,Torgaddon,112,Sons of Horus,,,Astartes
2,20,6,Loken,2364,Sons of Horus,Captain,,Astartes
2,21,1,Narrator,347,,,,
2,21,2,Karkasy,574,Remembrancer,,,Human
2,21,3,Petronella,698,Remembrancer,,,Human
2,21,4,Karkasy,185,Remembrancer,,,Human
2,21,5,Petronella,321,Remembrancer,,,Human
2,21,6,Oliton,483,Remembrancer,,,Human
2,21,7,Loken,486,Sons of Horus,Captain,,Astartes
2,21,8,Horus,887,Sons of Horus,Primarch,,Primarch
3,1,1,Sindermann,1511,Iterator,,,Human
3,1,2,Ing Mae Sing,864,Astropath,,,Human
3,1,3,Oliton,2652,Remembrancer,,,Human
3,2,1,Tarvitz,765,Emperors Children,,,Astartes
3,2,2,Tarvitz,1758,Emperors Children,,,Astartes
3,2,3,Sindermann,630,Iterator,,,Human
3,2,4,Narrator,414,,,,
3,2,5,Sindermann,644,Iterator,,,Human
3,2,6,Loken,1172,Sons of Horus,Captain,,Astartes
3,3,1,Loken,1052,Sons of Horus,Captain,,Astartes
3,3,2,Jonah Aruken,619,Titan Legions,Princeps,,Human
3,3,3,Maggard,461,Unaffiliated,,,Human
3,3,4,Sindermann,357,Iterator,,,Human
3,3,5,Loken,2431,Sons of Horus,Captain,,Astartes
3,4,1,Erebus,1261,Word Bearers,,,Astartes
3,4,2,Sindermann,987,Iterator,,,Human
3,4,3,Erebus,993,Word Bearers,,,Astartes
3,4,4,Sindermann,1080,Iterator,,,Human
3,5,1,Loken,1619,Sons of Horus,Captain,,Astartes
3,5,2,Tarvitz,1369,Emperors Children,,,Astartes
3,5,3,Loken,1066,Sons of Horus,Captain,,Astartes
3,5,4,Tarvitz,2124,Emperors Children,,,Astartes
3,6,1,Loken,825,Sons of Horus,Captain,,Astartes
3,6,2,Sindermann,873,Iterator,,,Human
3,6,3,Tarvitz,851,Emperors Children,,,Astartes
3,6,4,Loken,731,Sons of Horus,Captain,,Astartes
3,6,5,Tarvitz,1261,Emperors Children,,,Astartes
3,7,1,Titus Cassar,920,Titan Legions,Princeps,,Human
3,7,2,Loken,953,Sons of Horus,Captain,,Astartes
3,7,3,Tarvitz,1375,Emperors Children,,,Astartes
3,7,4,Oliton,981,Remembrancer,,,Human
3,7,5,Narrator,763,,,,
3,8,1,Loken,324,Sons of Horus,Captain,,Astartes
3,8,2,Lucius,1106,Emperors Children,,,Astartes
3,8,3,Ehrlen,430,World Eaters,,,Astartes
3,8,4,Loken,1063,Sons of Horus,Captain,,Astartes
3,8,5,Lucius,583,Emperors Children,,,Astartes
3,8,6,Tarvitz,1005,Emperors Children,,,Astartes
3,9,1,Horus,516,Sons of Horus,Primarch,,Primarch
3,9,2,Loken,667,Sons of Horus,Captain,,Astartes
3,9,3,Tarvitz,328,Emperors Children,,,Astartes
3,9,4,Eidolon,332,Emperors Children,,,Astartes
3,9,5,Oliton,544,Remembrancer,,,Human
3,9,6,Garro,218,Death Guard,,,Astartes
3,9,7,Sindermann,350,Iterator,,,Human
3,9,8,Tarvitz,381,Emperors Children,,,Astartes
3,9,9,Garro,223,Death Guard,,,Astartes
3,9,10,Tarvitz,940,Emperors Children,,,Astartes
3,10,1,Sindermann,1217,Iterator,,,Human
3,10,2,Lucius,1221,Emperors Children,,,Astartes
3,10,3,Loken,723,Sons of Horus,Captain,,Astartes
3,10,4,Maloghurst,385,Sons of Horus,Equerry,,Astartes
3,10,5,Lucius,732,Emperors Children,,,Astartes
3,10,6,Loken,613,Sons of Horus,Captain,,Astartes
3,10,7,Oliton,737,Remembrancer,,,Human
3,11,1,Tarvitz,716,Emperors Children,,,Astartes
3,11,2,Titus Cassar,1027,Titan Legions,Princeps,,Human
3,11,3,Sindermann,586,Iterator,,,Human
3,11,4,Tarvitz,686,Emperors Children,,,Astartes
3,11,5,Loken,302,Sons of Horus,Captain,,Astartes
3,11,6,Narrator,468,,,,
3,11,7,Sindermann,1167,Iterator,,,Human
3,12,1,Rylanor,249,Emperors Children,,,Astartes
3,12,2,Tarvitz,615,Emperors Children,,,Astartes
3,12,3,Horus,531,Sons of Horus,Primarch,,Primarch
3,12,4,Titus Cassar,468,Titan Legions,Princeps,,Human
3,12,5,Narrator,260,,,,
3,12,6,Titus Cassar,655,Titan Legions,Princeps,,Human
3,12,7,Sindermann,504,Iterator,,,Human
3,12,8,Tarvitz,676,Emperors Children,,,Astartes
3,12,9,Horus,835,Sons of Horus,Primarch,,Primarch
3,13,1,Titus Cassar,406,Titan Legions,Princeps,,Human
3,13,2,Sindermann,1056,Iterator,,,Human
3,13,3,Titus Cassar,663,Titan Legions,Princeps,,Human
3,13,4,Tarvitz,643,Emperors Children,,,Astartes
3,13,5,Loken,931,Sons of Horus,Captain,,Astartes
3,13,6,Titus Cassar,632,Titan Legions,Princeps,,Human
3,13,7,Tarvitz,301,Emperors Children,,,Astartes
3,13,8,Oliton,625,Remembrancer,,,Human
3,14,1,Loken,1195,Sons of Horus,Captain,,Astartes
3,14,2,Lucius,2261,Emperors Children,,,Astartes
3,14,3,Tarvitz,483,Emperors Children,,,Astartes
3,14,4,Lucius,405,Emperors Children,,,Astartes
3,15,1,Horus,753,Sons of Horus,Primarch,,Primarch
3,15,2,Loken,712,Sons of Horus,Captain,,Astartes
3,15,3,Lucius,692,Emperors Children,,,Astartes
3,15,4,Loken,729,Sons of Horus,Captain,,Astartes
3,15,5,Horus,941,Sons of Horus,Primarch,,Primarch
3,16,1,Vaddon,276,Sons of Horus,,,Astartes
3,16,2,Eidolon,279,Emperors Children,,,Astartes
3,16,3,Sedirae,419,Sons of Horus,,,Astartes
3,16,4,Tarvitz,355,Emperors Children,,,Astartes
3,16,5,Loken,1202,Sons of Horus,Captain,,Astartes
3,16,6,Tarvitz,853,Emperors Children,,,Astartes
3,16,7,Loken,431,Sons of Horus,Captain,,Astartes
3,16,8,Tarvitz,1471,Emperors Children,,,Astartes
3,17,1,Loken,606,Sons of Horus,Captain,,Astartes
3,17,2,Torgaddon,458,Sons of Horus,,,Astartes
3,17,3,Loken,403,Sons of Horus,Captain,,Astartes
3,17,4,Tarvitz,698,Emperors Children,,,Astartes
3,17,5,Loken,287,Sons of Horus,Captain,,Astartes
3,17,6,Tarvitz,826,Emperors Children,,,Astartes
3,17,7,Loken,721,Sons of Horus,Captain,,Astartes
3,17,8,Tarvitz,296,Emperors Children,,,Astartes
3,17,9,Abaddon,268,Sons of Horus,First Captain,,Astartes
3,17,9,Abaddon,268,Sons of Horus,First Captain,,Astartes
3,17,10,Horus,470,Sons of Horus,Primarch,,Primarch
3,17,11,Loken,241,Sons of Horus,Captain,,Astartes
3,17,12,Tarvitz,282,Emperors Children,,,Astartes
3,17,13,Aximand,415,Sons of Horus,,,Astartes
4,1,1,Narrator,414,,,,
4,1,2,Kaleb Arin,1080,Death Guard,Thrall,,Human
4,1,3,Garro,1278,Death Guard,,,Astartes
4,1,4,Garro,1222,Death Guard,,,Astartes
4,1,5,Kaleb Arin,567,Death Guard,Thrall,,Human
4,1,6,Garro,1066,Death Guard,,,Astartes
4,1,7,Pyr Rahl,649,Death Guard,,,Astartes
4,1,8,Garro,559,Death Guard,,,Astartes
4,2,1,Garro,2509,Death Guard,,,Astartes
4,2,2,Garro,1316,Death Guard,,,Astartes
4,2,3,Garro,2409,Death Guard,,,Astartes
4,3,1,Garro,1654,Death Guard,,,Astartes
4,3,2,Kaleb Arin,2147,Death Guard,Thrall,,Human
4,3,3,Garro,1528,Death Guard,,,Astartes
4,3,4,Garro,1116,Death Guard,,,Astartes
4,4,1,Typhon,1466,Death Guard,First Captain,,Astartes
4,4,2,Garro,582,Death Guard,,,Astartes
4,4,3,Garro,1018,Death Guard,,,Astartes
4,4,4,Garro,1212,Death Guard,,,Astartes
4,4,5,Garro,1856,Death Guard,,,Astartes
4,5,1,Garro,770,Death Guard,,,Astartes
4,5,2,Pyr Rahl,1429,Death Guard,,,Astartes
4,5,3,Garro,451,Death Guard,,,Astartes
4,5,4,Garro,1438,Death Guard,,,Astartes
4,5,5,Decius,2144,Death Guard,,,Astartes
4,6,1,Garro,683,Death Guard,,,Astartes
4,6,2,Decius,1645,Death Guard,,,Astartes
4,6,3,Garro,1335,Death Guard,,,Astartes
4,6,4,Temeter,1156,Death Guard,,,Astartes
4,6,5,Kaleb Arin,456,Death Guard,Thrall,,Human
4,6,6,Garro,1207,Death Guard,,,Astartes
4,6,7,Grulgor,379,Death Guard,,,Astartes
4,7,1,Temeter,921,Death Guard,,,Astartes
4,7,2,Garro,837,Death Guard,,,Astartes
4,7,3,Temeter,1125,Death Guard,,,Astartes
4,7,4,Garro,1228,Death Guard,,,Astartes
4,7,5,Kaleb Arin,1457,Death Guard,Thrall,,Human
4,7,6,Decius,641,Death Guard,,,Astartes
4,8,1,Sendek,693,Death Guard,,,Astartes
4,8,2,Decius,765,Death Guard,,,Astartes
4,8,3,Garro,705,Death Guard,,,Astartes
4,8,4,Voyen,1371,Death Guard,,,Astartes
4,8,5,Kaleb Arin,523,Death Guard,Thrall,,Human
4,8,6,Voyen,82,Death Guard,,,Astartes
4,8,7,Garro,496,Death Guard,,,Astartes
4,8,8,Decius,837,Death Guard,,,Astartes
4,8,9,Garro,1456,Death Guard,,,Astartes
4,9,1,Garro,1933,Death Guard,,,Astartes
4,9,2,Decius,517,Death Guard,,,Astartes
4,9,3,Temeter,638,Death Guard,,,Astartes
4,9,4,Garro,212,Death Guard,,,Astartes
4,9,5,Temeter,777,Death Guard,,,Astartes
4,9,6,Garro,503,Death Guard,,,Astartes
4,9,7,Carya,864,Imperialis Armada,,,Human
4,9,8,Garro,1234,Death Guard,,,Astartes
4,10,1,Carya,1000,Imperialis Armada,,,Human
4,10,2,Typhon,632,Death Guard,First Captain,,Astartes
4,10,3,Maas,636,Imperialis Armada,,,Human
4,10,4,Typhon,156,Death Guard,First Captain,,Astartes
4,10,5,Garro,851,Death Guard,,,Astartes
4,10,6,Narrator,238,,,,
4,10,7,Typhon,522,Death Guard,First Captain,,Astartes
4,10,8,Garro,531,Death Guard,,,Astartes
4,10,9,Typhon,133,Death Guard,First Captain,,Astartes
4,10,10,Vought,449,Imperialis Armada,,,Human
4,10,11,Typhon,254,Death Guard,First Captain,,Astartes
4,10,12,Garro,1111,Death Guard,,,Astartes
4,11,1,Narrator,378,,,,
4,11,2,Garro,520,Death Guard,,,Astartes
4,11,3,Hakur,1490,Death Guard,,,Astartes
4,11,4,Narrator,541,,,,
4,11,5,Garro,1205,Death Guard,,,Astartes
4,11,6,Decius,737,Death Guard,,,Astartes
4,11,7,Garro,1152,Death Guard,,,Astartes
4,12,1,Garro,2542,Death Guard,,,Astartes
4,12,2,Sindermann,1351,Iterator,,,Human
4,12,3,Garro,1258,Death Guard,,,Astartes
4,12,4,Sendek,1307,Death Guard,,,Astartes
4,13,1,Narrator,609,,,,
4,13,2,Garro,1117,Death Guard,,,Astartes
4,13,3,Garro,949,Death Guard,,,Astartes
4,13,4,Garro,430,Death Guard,,,Astartes
4,13,5,Narrator,469,,,,
4,13,6,Garro,1675,Death Guard,,,Astartes
4,14,1,Garro,1651,Death Guard,,,Astartes
4,14,2,Qruze,742,Sons of Horus,,,Astartes
4,14,3,Garro,1039,Death Guard,,,Astartes
4,14,4,Qruze,661,Sons of Horus,,,Astartes
4,14,5,Garro,695,Death Guard,,,Astartes
4,14,6,Garro,1059,Death Guard,,,Astartes
4,14,7,Garro,927,Death Guard,,,Astartes
4,15,1,Garro,562,Death Guard,,,Astartes
4,15,2,Narrator,293,,,,
4,15,3,Garro,1480,Death Guard,,,Astartes
4,15,4,Garro,1422,Death Guard,,,Astartes
4,15,5,Garro,1561,Death Guard,,,Astartes
4,15,6,Garro,949,Death Guard,,,Astartes
4,15,7,Decius,811,Death Guard,,,Astartes
4,15,8,Narrator,208,,,,
4,16,1,Sendek,1187,Death Guard,,,Astartes
4,16,2,Garro,801,Death Guard,,,Astartes
4,16,3,Qruze,531,Sons of Horus,,,Astartes
4,16,4,Garro,605,Death Guard,,,Astartes
4,16,5,Garro,2523,Death Guard,,,Astartes
4,16,6,Garro,930,Death Guard,,,Astartes
4,17,1,Garro,1628,Death Guard,,,Astartes
4,17,2,Garro,484,Death Guard,,,Astartes
4,17,3,Garro,300,Death Guard,,,Astartes
5,1,1,Ostian Delafour,1091,Remembrancer,,,Human
5,1,2,Ostian Delafour,1652,Remembrancer,,,Human
5,1,3,Solomon Demeter,1351,Emperors Children,,,Astartes
5,1,4,Narrator,668,,,,
5,2,1,Narrator,343,,,,
5,2,2,Julius Kaesoron,774,Emperors Children,First Captain,,Astartes
5,2,3,Solomon Demeter,1108,Emperors Children,,,Astartes
5,2,4,Julius Kaesoron,2223,Emperors Children,First Captain,,Astartes
5,2,5,Solomon Demeter,882,Emperors Children,,,Astartes
5,3,1,Marius Vairosean,930,Emperors Children,,,Astartes
5,3,2,Ostian Delafour,651,Remembrancer,,,Human
5,3,3,Gaius Caphen,511,Emperors Children,,,Astartes
5,3,4,Solomon Demeter,1209,Emperors Children,,,Astartes
5,3,5,Narrator,174,,,,
5,3,6,Ostian Delafour,983,Remembrancer,,,Human
5,4,1,Narrator,664,,,,
5,4,2,Fabius Bile,1612,Emperors Children,,,Astartes
5,4,3,Solomon Demeter,1142,Emperors Children,,,Astartes
5,4,4,Bequa Kynska,554,Remembrancer,,,Human
5,4,5,Solomon Demeter,1511,Emperors Children,,,Astartes
5,5,1,Narrator,234,,,,
5,5,2,Solomon Demeter,1335,Emperors Children,,,Astartes
5,5,3,Julius Kaesoron,476,Emperors Children,First Captain,,Astartes
5,5,4,Marius Vairosean,274,Emperors Children,,,Astartes
5,5,5,Julius Kaesoron,936,Emperors Children,First Captain,,Astartes
5,5,6,Fulgrim,1473,Emperors Children,Primarch,,Primarch
5,5,7,Julius Kaesoron,1356,Emperors Children,First Captain,,Astartes
5,6,1,Balhaan,877,Iron Hands,,,Astartes
5,6,2,Balhaan,1299,Iron Hands,,,Astartes
5,6,3,Gabriel Santar,1006,Iron Hands,,,Astartes
5,6,4,Gabriel Santar,2045,Iron Hands,,,Astartes
5,7,1,Ostian Delafour,2289,Remembrancer,,,Human
5,7,2,Solomon Demeter,1281,Emperors Children,,,Astartes
5,7,3,Julius Kaesoron,2014,Emperors Children,First Captain,,Astartes
5,8,1,Julius Kaesoron,774,Emperors Children,First Captain,,Astartes
5,8,2,Fulgrim,1290,Emperors Children,Primarch,,Primarch
5,8,3,Fabius Bile,1386,Emperors Children,,,Astartes
5,8,4,Serena D'Angelus,1352,Remembrancer,,,Human
5,8,5,Solomon Demeter,1148,Emperors Children,,,Astartes
5,9,1,Balhaan,801,Iron Hands,,,Astartes
5,9,2,Julius Kaesoron,2350,Emperors Children,First Captain,,Astartes
5,9,3,Fulgrim,1192,Emperors Children,Primarch,,Primarch
5,9,4,Julius Kaesoron,591,Emperors Children,First Captain,,Astartes
5,10,1,Narrator,946,,,,
5,10,2,Solomon Demeter,1715,Emperors Children,,,Astartes
5,10,3,Narrator,578,,,,
5,10,4,Julius Kaesoron,292,Emperors Children,First Captain,,Astartes
5,10,5,Solomon Demeter,1200,Emperors Children,,,Astartes
5,10,6,Julius Kaesoron,644,Emperors Children,First Captain,,Astartes
5,10,7,Solomon Demeter,706,Emperors Children,,,Astartes
5,10,8,Fulgrim,201,Emperors Children,Primarch,,Primarch
5,11,1,Narrator,338,,,,
5,11,2,Eldrad Ulthran,1152,Eldar,,,Eldar
5,11,3,Narrator,563,,,,
5,11,4,Julius Kaesoron,2181,Emperors Children,First Captain,,Astartes
5,12,1,Tarvitz,2567,Emperors Children,,,Astartes
5,12,2,Solomon Demeter,850,Emperors Children,,,Astartes
5,12,3,Ostian Delafour,2469,Remembrancer,,,Human
5,13,1,Fabius Bile,770,Emperors Children,,,Astartes
5,13,2,Solomon Demeter,897,Emperors Children,,,Astartes
5,13,3,Solomon Demeter,1057,Emperors Children,,,Astartes
5,13,4,Serena D'Angelus,1587,Remembrancer,,,Human
5,13,5,Narrator,281,,,,
5,14,1,Solomon Demeter,1093,Emperors Children,,,Astartes
5,14,2,Eldrad Ulthran,436,Eldar,,,Eldar
5,14,3,Solomon Demeter,577,Emperors Children,,,Astartes
5,14,4,Ostian Delafour,1289,Remembrancer,,,Human
5,14,5,Solomon Demeter,1392,Emperors Children,,,Astartes
5,15,1,Fulgrim,1934,Emperors Children,Primarch,,Primarch
5,15,2,Eldrad Ulthran,361,Eldar,,,Eldar
5,15,3,Lucius,947,Emperors Children,,,Astartes
5,15,4,Marius Vairosean,1303,Emperors Children,,,Astartes
5,15,5,Fulgrim,1825,Emperors Children,Primarch,,Primarch
5,16,1,Ormond Braxton,2671,Administratum,,,Human
5,16,2,Serena D'Angelus,940,Remembrancer,,,Human
5,16,3,Fulgrim,1049,Emperors Children,Primarch,,Primarch
5,16,4,Marius Vairosean,170,Emperors Children,,,Astartes
